"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Ryan McBroom","Royals","19","84","76","19","4","0","3","9","9","6","23","1","0","0",".243",".303",".410",".713",".302","0.0","-0.1","0.0","597.6","16524"
"Jose Martinez","Mets","26","112","101","25","5","0","3","13","15","10","25","1","1","0",".252",".320",".405",".726",".310","-0.1","0.0","0.0","999.0","7996"
"John Nogowski","Cardinals","8","35","31","8","1","0","1","4","4","3","5","0","0","0",".256",".338",".382",".719",".313","0.1","-0.1","0.0","999.0","16852"
"Taylor Jones","Astros","3","14","12","3","1","0","0","2","2","1","4","0","0","0",".225",".300",".385",".685",".293","0.0","0.0","0.0","999.0","19533"
"Aramis Garcia","Rangers","40","160","147","31","6","1","5","16","17","10","53","1","0","0",".210",".264",".362",".626",".267","0.3","-0.2","0.0","999.0","16925"
"Ryan O'Hearn","Royals","29","126","111","25","6","0","5","14","16","14","34","1","0","0",".226",".313",".409",".722",".306","-0.1","-0.1","0.0","598.2","16442"
"Ronald Guzman","Rangers","39","168","150","35","7","1","6","19","20","15","47","2","1","0",".235",".310",".413",".723",".307","0.9","-0.1","0.0","598.1","14388"
"Edwin Encarnacion","","58","252","220","47","8","0","14","32","38","26","67","4","0","0",".213",".306",".437",".743",".314","0.0","-0.8","-0.1","591.3","2151"
"Sherten Apostel","Rangers","10","42","38","8","2","0","1","4","4","3","13","0","0","0",".216",".282",".372",".654",".280","0.1","0.0","-0.1","999.0","21794"
"Evan White","Mariners","146","630","571","128","22","2","25","68","78","48","197","5","4","3",".223",".287",".398",".685",".291","2.5","-0.6","-0.1","407.6","20078"
"Neil Walker","","26","112","99","23","4","0","3","12","12","11","26","1","0","0",".233",".312",".365",".677",".293","-1.1","-0.1","-0.1","999.0","7539"
"Pablo Sandoval","","18","77","70","17","3","0","3","8","11","5","17","1","0","0",".242",".298",".410",".708",".299","-0.1","-0.1","-0.1","999.0","5409"
"Will Craig","Pirates","19","84","75","17","3","0","3","9","9","6","24","2","1","0",".221",".291",".375",".666",".286","0.2","-0.1","-0.2","999.0","19267"
"Matt Adams","","23","98","90","20","4","0","5","11","17","6","31","1","0","0",".219",".276",".423",".700",".292","0.0","-0.2","-0.2","999.0","9393"
"Jake Noll","Nationals","18","77","72","18","3","0","2","8","8","3","16","1","1","0",".251",".290",".367",".657",".281","-0.1","0.0","-0.2","999.0","19703"
"Lewin Diaz","Marlins","24","105","98","22","5","0","4","11","12","5","24","1","0","0",".227",".270",".397",".666",".278","0.4","-0.1","-0.2","999.0","18365"
"Chris Davis","Orioles","40","175","155","28","5","0","6","16","19","16","66","2","1","0",".181",".263",".327",".589",".255","-0.3","-0.2","-0.7","600.8","9272"
"Albert Pujols","Angels","102","441","405","96","17","0","16","45","65","28","67","3","1","0",".236",".288",".399",".687",".290","-1.0","-1.5","-0.8","582.6","1177"
"Ian Desmond","Rockies","105","455","413","101","20","4","15","55","55","34","115","3","7","3",".244",".305",".419",".724",".306","-3.3","-0.1","-0.9","557.2","6885"
"Josh Fuentes","Rockies","113","490","459","120","26","3","13","56","58","20","130","4","4","2",".262",".296",".421",".717",".301","4.1","-0.2","-0.9","490.6","16885"
